microsoft/vscode;/src/vs/workbench/browser/parts/editor/editorStatus.ts;114554; TODO@rebornix TODO@jrieken debt: https://github.com/microsoft/vscode/issues/114554$n$ it's inside notebook editor;1075
cockroachdb/cockroach;/pkg/sql/distsql_physical_planner.go;49596; The nodeID of the gateway node that initiated this query.$n$ TODO(asubiotto): This usage of NodeID instead of SQLInstanceID is$n$  temporary: https://github.com/cockroachdb/cockroach/issues/49596;79
cockroachdb/cockroach;/pkg/sql/distsql_physical_planner.go;49596; NewDistSQLPlanner initializes a DistSQLPlanner.$n$$n$ nodeID is the ID of the node on which this planner runs. It is used to favor$n$ itself and other close-by nodes when planning. An invalid nodeID can be$n$ passed to aid bootstrapping, but then SetNodeInfo() needs to be called$n$ before this planner is used.$n$ TODO(asubiotto): This usage of NodeID instead of SQLInstanceID is$n$  temporary: https://github.com/cockroachdb/cockroach/issues/49596;121
cockroachdb/cockroach;/pkg/sql/sem/tree/expr.go;28579; There's no type annotation available for tuples.$n$ TODO(jordan,knz): clean this up. AmbiguousReturnType should be set only$n$ when we should and can put an annotation here. #28579;1460
cockroachdb/cockroach;/pkg/sql/rowexec/distinct.go;48166; Row is a duplicate input to an Upsert operation, so raise$n$ an error.$n$$n$ TODO(knz): errorOnDup could be passed via log.Safe() if$n$ there was a guarantee that it does not contain PII. Or$n$ better yet, the caller would construct an `error` object to$n$ return here instead of a string.$n$ See: https://github.com/cockroachdb/cockroach/issues/48166;276
elastic/kibana;/x-pack/plugins/maps/public/classes/fields/es_doc_field.ts;60102; TODO remove local typing once Kibana has figured out a core place for Elasticsearch aggregation request types$n$ https://github.com/elastic/kibana/issues/60102;89
elastic/kibana;/x-pack/plugins/maps/public/classes/fields/es_doc_field.ts;60102; TODO remove local typing once Kibana has figured out a core place for Elasticsearch aggregation request types$n$ https://github.com/elastic/kibana/issues/60102;138
elastic/kibana;/x-pack/plugins/global_search_bar/public/components/search_bar.tsx;85189; TODO #85189 - refactor to use TagList instead of getTag$n$ Casting to Tag[] because we know all our IDs will be valid here, no need to check for undefined;153
elastic/kibana;/x-pack/plugins/fleet/public/applications/fleet/sections/agent_policy/create_package_policy_page/index.tsx;70358; If navigateTo appID is `fleet`, then don't use Kibana's navigateTo method, because that$n$ uses BrowserHistory but within fleet, we are using HashHistory.$n$ This temporary workaround hook can be removed once this issue is addressed:$n$ https://github.com/elastic/kibana/issues/70358;492
elastic/kibana;/src/plugins/kibana_utils/common/state_containers/create_state_container.ts;54439; TODO: https://github.com/elastic/kibana/issues/54439$n$ TODO: https://github.com/elastic/kibana/issues/54439;106
elastic/kibana;/src/plugins/ui_actions/public/service/ui_actions_service.ts;74501; TODO: remove `Action` https://github.com/elastic/kibana/issues/74501;128
